"SampleSize","InclusionMean","Iteration"
1,0.00960939585372364,1
2,0.183548809332445,1
3,0.0922802051186858,1
4,0.279417382999045,1
5,0.172966272161669,1
6,0.268807687444683,1
7,0.348115623856568,1
8,0.237943709880946,1
9,0.399025013985455,1
10,0.363893176456883,1
11,0.360582665695557,1
12,0.367231638418079,1
13,0.282936863408646,1
14,0.323173291143328,1
15,0.470617468008448,1
16,0.345709681751041,1
17,0.342715766072645,1
18,0.46775539829432,1
19,0.329938173747622,1
20,0.387693806315448,1
21,0.510024707359553,1
22,0.557124404258162,1
23,0.493702068324425,1
24,0.389249852333136,1
25,0.271929343353996,1
26,0.335015854526629,1
27,0.288563568481038,1
28,0.479269659218245,1
29,0.434464579901153,1
30,0.224186905269138,1
31,0.440350592436293,1
32,0.458850289495451,1
33,0.52286077155104,1
34,0.713824841066515,1
35,0.553260587165498,1
36,0.310796877301517,1
37,0.625257635375679,1
38,0.252511048613901,1
39,0.659928656361474,1
40,0.243715381337878,1
41,0.898336414048059,1
