ID,date_gmt,time_gmt,Longitude,Latitude,lon_colony,lat_colony,DateTime
69302,2012-07-22,17:09:41,-5.72638,-16.00712,-5.73,-16.01,2012-07-22T17:09:41Z
69302,2012-07-25,00:28:47,-5.72642,-16.00715,-5.73,-16.01,2012-07-25T00:28:47Z
69302,2012-07-25,10:43:10,-5.24543,-16.05463,-5.73,-16.01,2012-07-25T10:43:10Z
69302,2012-07-21,16:24:09,-5.72639,-16.00707,-5.73,-16.01,2012-07-21T16:24:09Z
69302,2012-07-21,12:34:56,-5.7264,-16.00711,-5.73,-16.01,2012-07-21T12:34:56Z
69302,2012-07-23,18:58:03,-5.72633,-16.00718,-5.73,-16.01,2012-07-23T18:58:03Z
69302,2012-07-24,04:27:08,-5.72623,-16.00699,-5.73,-16.01,2012-07-24T04:27:08Z
69302,2012-07-21,14:14:19,-5.72639,-16.00713,-5.73,-16.01,2012-07-21T14:14:19Z
69302,2012-07-21,11:45:01,-5.7264,-16.00714,-5.73,-16.01,2012-07-21T11:45:01Z
69302,2012-07-24,15:47:18,-5.72643,-16.007,-5.73,-16.01,2012-07-24T15:47:18Z
69302,2012-07-24,09:06:28,-5.7264,-16.0071,-5.73,-16.01,2012-07-24T09:06:28Z
69302,2012-07-21,16:34:48,-5.72638,-16.00698,-5.73,-16.01,2012-07-21T16:34:48Z
69302,2012-07-21,12:02:12,-5.7264,-16.00709,-5.73,-16.01,2012-07-21T12:02:12Z
69302,2012-07-23,18:21:18,-5.72621,-16.00715,-5.73,-16.01,2012-07-23T18:21:18Z
69302,2012-07-24,04:56:42,-5.72642,-16.00712,-5.73,-16.01,2012-07-24T04:56:42Z
69303,2012-07-21,16:13:01,-5.7277,-16.00748,-5.73,-16.01,2012-07-21T16:13:01Z
69303,2012-07-21,20:24:16,-5.72757,-16.00761,-5.73,-16.01,2012-07-21T20:24:16Z
69303,2012-07-21,21:24:52,-5.72773,-16.00746,-5.73,-16.01,2012-07-21T21:24:52Z
69303,2012-07-21,17:05:41,-5.7277,-16.00748,-5.73,-16.01,2012-07-21T17:05:41Z
69303,2012-07-21,11:13:32,-5.72767,-16.00747,-5.73,-16.01,2012-07-21T11:13:32Z
69303,2012-07-21,22:30:09,-5.72765,-16.00759,-5.73,-16.01,2012-07-21T22:30:09Z
69303,2012-07-22,02:52:12,-5.72777,-16.00756,-5.73,-16.01,2012-07-22T02:52:12Z
69303,2012-07-22,04:31:24,-5.72774,-16.00734,-5.73,-16.01,2012-07-22T04:31:24Z
69303,2012-07-21,20:22:44,-5.72757,-16.00761,-5.73,-16.01,2012-07-21T20:22:44Z
69303,2012-07-21,21:17:26,-5.72773,-16.00746,-5.73,-16.01,2012-07-21T21:17:26Z
69303,2012-07-21,17:55:57,-5.72773,-16.00753,-5.73,-16.01,2012-07-21T17:55:57Z
69303,2012-07-21,17:04:02,-5.7277,-16.00748,-5.73,-16.01,2012-07-21T17:04:02Z
69303,2012-07-22,03:41:58,-5.72768,-16.00756,-5.73,-16.01,2012-07-22T03:41:58Z
69303,2012-07-21,14:50:43,-5.72774,-16.00752,-5.73,-16.01,2012-07-21T14:50:43Z
69303,2012-07-22,02:05:04,-5.72767,-16.00743,-5.73,-16.01,2012-07-22T02:05:04Z
69304,2013-08-23,20:35:09,-4.22149,-14.75767,-5.73,-16.01,2013-08-23T20:35:09Z
69304,2013-08-22,13:26:16,-5.36103,-15.407,-5.73,-16.01,2013-08-22T13:26:16Z
69304,2013-08-23,08:29:23,-4.06528,-14.04554,-5.73,-16.01,2013-08-23T08:29:23Z
69304,2013-08-24,17:57:05,-4.16172,-13.69736,-5.73,-16.01,2013-08-24T17:57:05Z
69304,2013-08-22,17:11:12,-4.42367,-14.63167,-5.73,-16.01,2013-08-22T17:11:12Z
69304,2013-08-23,17:50:30,-4.19151,-14.74897,-5.73,-16.01,2013-08-23T17:50:30Z
69304,2013-08-22,12:53:12,-5.49988,-15.5926,-5.73,-16.01,2013-08-22T12:53:12Z
69304,2013-08-24,11:34:12,-4.45646,-14.16564,-5.73,-16.01,2013-08-24T11:34:12Z
69304,2013-08-24,20:24:41,-4.17123,-13.68302,-5.73,-16.01,2013-08-24T20:24:41Z
69304,2013-08-23,10:44:15,-4.3093,-14.40854,-5.73,-16.01,2013-08-23T10:44:15Z
69304,2013-08-23,17:04:40,-4.18199,-14.74908,-5.73,-16.01,2013-08-23T17:04:40Z
69304,2013-08-24,18:46:51,-4.16273,-13.68139,-5.73,-16.01,2013-08-24T18:46:51Z
69304,2013-08-23,11:34:36,-4.29136,-14.48511,-5.73,-16.01,2013-08-23T11:34:36Z
69304,2013-08-23,16:41:11,-4.16736,-14.74292,-5.73,-16.01,2013-08-23T16:41:11Z
69304,2013-08-23,00:14:06,-4.30906,-14.51965,-5.73,-16.01,2013-08-23T00:14:06Z
69304,2013-08-23,09:33:54,-4.22358,-14.3346,-5.73,-16.01,2013-08-23T09:33:54Z
69304,2013-08-24,12:37:25,-4.35981,-13.97906,-5.73,-16.01,2013-08-24T12:37:25Z
69304,2013-08-22,21:17:11,-4.33931,-14.56292,-5.73,-16.01,2013-08-22T21:17:11Z
69304,2013-08-23,19:26:44,-4.20924,-14.75714,-5.73,-16.01,2013-08-23T19:26:44Z
69304,2013-08-24,19:26:30,-4.16322,-13.68061,-5.73,-16.01,2013-08-24T19:26:30Z
69304,2013-08-22,22:12:54,-4.33345,-14.56028,-5.73,-16.01,2013-08-22T22:12:54Z
69304,2013-08-24,06:55:51,-4.36471,-14.75368,-5.73,-16.01,2013-08-24T06:55:51Z
69304,2013-08-24,21:38:08,-4.17921,-13.68462,-5.73,-16.01,2013-08-24T21:38:08Z
69304,2013-08-23,12:00:14,-4.28849,-14.48695,-5.73,-16.01,2013-08-23T12:00:14Z
69304,2013-08-23,17:43:10,-4.19009,-14.74912,-5.73,-16.01,2013-08-23T17:43:10Z
69305,2013-08-23,09:34:56,-5.72899,-16.00766,-5.73,-16.01,2013-08-23T09:34:56Z
69305,2013-08-23,16:36:29,-5.72916,-16.00783,-5.73,-16.01,2013-08-23T16:36:29Z
69305,2013-08-22,17:34:54,-5.72873,-16.00757,-5.73,-16.01,2013-08-22T17:34:54Z
69305,2013-08-23,18:52:10,-5.72901,-16.0077,-5.73,-16.01,2013-08-23T18:52:10Z
69305,2013-08-24,03:11:50,-5.72905,-16.0077,-5.73,-16.01,2013-08-24T03:11:50Z
69305,2013-08-22,20:16:33,-5.72908,-16.00775,-5.73,-16.01,2013-08-22T20:16:33Z
69305,2013-08-24,02:59:23,-5.72908,-16.00774,-5.73,-16.01,2013-08-24T02:59:23Z
69305,2013-08-23,06:58:12,-5.729,-16.00765,-5.73,-16.01,2013-08-23T06:58:12Z
69305,2013-08-23,19:41:38,-5.72926,-16.00787,-5.73,-16.01,2013-08-23T19:41:38Z
69305,2013-08-23,07:47:26,-5.72715,-16.00684,-5.73,-16.01,2013-08-23T07:47:26Z
69305,2013-08-23,14:29:58,-5.72894,-16.00764,-5.73,-16.01,2013-08-23T14:29:58Z
69305,2013-08-24,11:29:57,-5.72942,-16.00776,-5.73,-16.01,2013-08-24T11:29:57Z
69305,2013-08-23,14:01:53,-5.72897,-16.0077,-5.73,-16.01,2013-08-23T14:01:53Z
69305,2013-08-24,13:12:05,-5.72913,-16.00765,-5.73,-16.01,2013-08-24T13:12:05Z
69305,2013-08-22,21:50:06,-5.72904,-16.00769,-5.73,-16.01,2013-08-22T21:50:06Z
69305,2013-08-24,06:24:03,-5.72902,-16.00769,-5.73,-16.01,2013-08-24T06:24:03Z
69305,2013-08-22,23:17:19,-5.72903,-16.00773,-5.73,-16.01,2013-08-22T23:17:19Z
69305,2013-08-24,08:25:14,-5.72907,-16.00767,-5.73,-16.01,2013-08-24T08:25:14Z
69305,2013-08-22,21:53:20,-5.72901,-16.00769,-5.73,-16.01,2013-08-22T21:53:20Z
69305,2013-08-24,12:18:21,-5.72905,-16.00769,-5.73,-16.01,2013-08-24T12:18:21Z
69305,2013-08-22,12:29:18,-5.72897,-16.00807,-5.73,-16.01,2013-08-22T12:29:18Z
69305,2013-08-24,04:20:50,-5.72902,-16.00771,-5.73,-16.01,2013-08-24T04:20:50Z
69305,2013-08-23,10:04:30,-5.72902,-16.00768,-5.73,-16.01,2013-08-23T10:04:30Z
69305,2013-08-23,23:09:47,-5.72902,-16.00769,-5.73,-16.01,2013-08-23T23:09:47Z
69305,2013-08-23,02:44:45,-5.72904,-16.00774,-5.73,-16.01,2013-08-23T02:44:45Z
69305,2013-08-23,16:19:33,-5.72908,-16.00773,-5.73,-16.01,2013-08-23T16:19:33Z
69305,2013-08-23,06:10:47,-5.72904,-16.0077,-5.73,-16.01,2013-08-23T06:10:47Z
69305,2013-08-24,04:06:16,-5.72902,-16.00772,-5.73,-16.01,2013-08-24T04:06:16Z
69305,2013-08-23,03:42:28,-5.72905,-16.00774,-5.73,-16.01,2013-08-23T03:42:28Z
69305,2013-08-22,21:01:29,-5.72907,-16.00771,-5.73,-16.01,2013-08-22T21:01:29Z
69305,2013-08-22,18:25:50,-5.72896,-16.00765,-5.73,-16.01,2013-08-22T18:25:50Z
69305,2013-08-22,22:06:18,-5.72904,-16.0077,-5.73,-16.01,2013-08-22T22:06:18Z
69305,2013-08-24,08:21:46,-5.72912,-16.00764,-5.73,-16.01,2013-08-24T08:21:46Z
69305,2013-08-22,20:06:33,-5.72908,-16.00766,-5.73,-16.01,2013-08-22T20:06:33Z
69305,2013-08-24,05:47:44,-5.72904,-16.00773,-5.73,-16.01,2013-08-24T05:47:44Z
69306,2014-01-06,22:56:52,-5.72944,-16.00778,-5.73,-16.01,2014-01-06T22:56:52Z
69306,2014-01-07,23:06:14,-5.72943,-16.00774,-5.73,-16.01,2014-01-07T23:06:14Z
